location,year,grantee,description,amount,term,program
"Washington, DC",2015,National Legal Aid and Defender Association,Support for training and technical assistance to increase access to federal resources for civil legal services organizations nationally.,"$200,000",12 months,Special Initiative: Civil Legal Aid
"Chicago, IL",2015,American Bar Association Fund for Justice and Education,Support to continue and complete the work of the expansion for the state-based Access to Justice Commissions.,"$150,000",24 months,Special Initiative: Civil Legal Aid
"Seattle, WA",2015,Washington State Bar Foundation,Support for the Access to Justice Board.,"$25,000",24 months,President's Discretionary Fund
"New York, NY",2015,New York Law School,Support for the Right to Counsel for Low-Income Tenants Facing Eviction program.,"$10,000",12 months,President's Discretionary Fund
"Washington, DC",2015,Foundation for Criminal Justice,Support for the Clemency Project.,"$25,000",12 months,President's Discretionary Fund
"Washington, DC",2015,Alliance for Justice,General Support.,"$25,000",12 months,President's Discretionary Fund
"San Francisco, CA",2015,Youth Law Center,Support to reduce unnecessary incarceration and transfer to adult court of youth in California.,"$75,000",12 months,Youth Justice
"Harrisburg, PA",2015,"Youth Advocate Programs, Inc.","Support for the Policy and Advocacy Center which works to promote more effective, community-based alternatives to youth incarceration.","$200,000",24 months,Youth Justice
"Chestnut Hill, MA",2015,Trustees of Boston College,Support for research and a report with policy recommendations for reducing incarceration of girls in the juvenile justice system.,"$23,014",12 months,Youth Justice
"Austin, TX",2015,Texans Care for Children,Support for advocacy to reduce youth incarceration and raise the age of juvenile court jurisdiction in Texas.,"$50,000",12 months,Youth Justice
"Montgomery, AL",2015,Southern Poverty Law Center,Support for the Florida Campaign to stop trying children as adults.,"$100,000",12 months,Youth Justice
"Washington, DC",2015,National Youth Justice Network,General Support.,"$500,000",24 months,Youth Justice
"Charlottesville, VA",2015,Legal Aid Justice Center,Support for advocacy to promote alternatives to youth incarceration.,"$200,000",12 months,Youth Justice
"Evanston, IL",2015,Youth Justice Initiative of Illinois,General Support.,"$200,000",24 months,Youth Justice
"Denver, CO",2015,Colorado Juvenile Defender Center,General Support.,"$225,000",24 months,Youth Justice
"Boston, MA",2015,Citizens for Youth Justice,General Support.,"$130,000",24 months,Youth Justice
"New York, NY",2015,Children’s Defense Fund – NY,Support to advocate for more developmentally-appropriate juvenile justice policies in New York.,"$100,000",12 months,Youth Justice
"Phoenix, AZ",2015,Children’s Action Alliance,Support for the Justice for Arizona Youth Program.,"$65,000",12 months,Youth Justice
"Washington, DC",2015,Center for Public Integrity,Support to conduct independent investigative reporting on juvenile justice issues.,"$75,000",12 months,Youth Justice
"New York, NY",2015,American Civil Liberties Union Foundation,"Support to advocate for state policy reforms to reduce youth incarceration rates, end the practice of trying youth as adults and reduce racial and ethnic dispa…","$115,000",6 months,Youth Justice
"Austin, TX",2015,Texas Public Policy Foundation,Support for TPPF's Foundation Center for Effective Justice to continue criminal justice reform efforts in Texas and generate national support for criminal just…,"$300,000",24 months,Criminal Justice
"Shelton, CT",2015,Recovery Network of Programs,Support for a pilot project to divert from jail detention previously uninsured people with substance abuse and mental health needs by providing community-based…,"$89,416",12 months,Criminal Justice
"Easthampton, MA",2015,Prison Policy Initiative,Support to conduct research and data analysis in support of the national criminal justice reform movement.,"$100,000",24 months,Criminal Justice
"Washington, DC",2015,New Venture Fund,Support for JustLeadershipUSA.,"$50,000",24 months,Criminal Justice
"Washington, DC",2015,National Association of Pretrial Services Agencies,General Support.,"$100,000",24 months,Criminal Justice
"Washington, DC",2015,Justice Policy Institute,General support to advance research for the broader criminal justice reform field. Project support for sentencing reform advocacy in Virginia.,"$150,000",24 months,Criminal Justice
"Washington, DC",2015,Equal Justice Under Law,General Support.,"$150,000",24 months,Criminal Justice
"Washington, DC",2015,American University – Washington College of Law,Support to the Pretrial Racial Justice Initiative.,"$75,000",9 months,Criminal Justice
"Bellevue, WA",2014,MomsRising Education Fund,General Support.,"$75,000",24 months,Workers' Rights
"Washington, DC",2014,The American Prospect,General Support.,"$50,000",12 months,Special Opportunities
"Portland, OR",2014,Partnership for Safety and Justice,"Support for the Safe Kids, Safe Communities campaign to challenge the automatic prosecution of youth as adults.","$120,000",24 months,Youth Justice
"Washington, DC",2014,New Venture Fund,Support to the Youth First! Initiative to end the reliance on youth incarceration and redirect resources towards community programs.,"$500,000",24 months,Youth Justice
"Chicago, IL",2014,Treatment Alternatives for Safe Communities (TASC),Support to provide technical assistance to three counties to divert pretrial defendants from jail to Medicaid-funded community-based behavioral health treatmen…,"$350,000",12 months,Criminal Justice
"Boston, MA",2014,Massachusetts Institute for a New Commonwealth,Support for the Massachusetts Criminal Justice Reform Coalition.,"$150,000",24 months,Criminal Justice
"Washington, DC",2014,Families Against Mandatory Minimums,General Support.,"$500,000",24 months,Criminal Justice
"Oakland, CA",2014,ColorofChange.org Education Fund,Support to utilize cutting-edge technological innovations in online organizing to engage more people of color in criminal justice reform advocacy.,"$400,000",24 months,Criminal Justice
"Washington, DC",2014,University Legal Services,Support for an advocacy effort to ensure transparency and public input in the process to determine provisions of healthcare treatment for inmates of DC Jail.,"$15,000",12 months,Criminal Justice
"Washington, DC",2014,The Washington Legal Clinic for the Homeless,Support for the Human Right to Housing Initiative.,"$150,000",12 months,Special Initiative: Civil Legal Aid
"Washington, DC",2014,The George Washington University,"Support for the National Center for Medical-Legal Partnership's project, Where Health Meets Justice Fellowship.","$200,000",27 months,Special Initiative: Civil Legal Aid
"Washington, DC",2014,National Criminal Justice Association,Support to educate NCJA membership about pretrial reform and assist target State Administering Agencies in taking a leadership role on pretrial reform in their…,"$150,000",24 months,Criminal Justice
"Lansing, MI",2014,Michigan Council on Crime and Delinquency,Support to promote fiscal incentives for use of alternatives to youth incarceration and to lead a campaign to raise the age of juvenile court jurisdiction in M…,"$300,000",24 months,Youth Justice
"New Orleans, LA",2014,Louisiana Center for Children’s Rights,Support for research and advocacy to raise the age of juvenile court jurisdiction in Louisiana.,"$100,000",12 months,Youth Justice
"Jeffersontown, KY",2014,Kentucky Youth Advocates,Support to partner with Children's Law Center to advocate for deinstitutionalizing youth charged with status offenses in Kentucky and for effective implementat…,"$250,000",24 months,Youth Justice
"Washington, DC",2014,Jobs With Justice Education Fund,Support for the Future of Bargaining Project.,"$200,000",12 months,Workers' Rights
"New York, NY",2014,Human Rights Watch,Support for research on youth tried as adults and work to advance juvenile justice reform in California,"$100,000",12 months,Youth Justice
"Bakersfield, CA",2014,Dolores Huerta Foundation,Support to update technological equipment as the group transitions to a new fundraising base and approach.,"$15,000",12 months,President's Discretionary Fund
"Boston, MA",2014,Community Labor United,Support for the Good Jobs-Strong Communities Subcontracting/Outsourcing Campaign,"$65,000",12 months,Workers' Rights
"Washington, DC",2014,Children’s Defense Fund,General support.,"$100,000",12 months,Special Opportunities
"New York, NY",2014,Brennan Center for Justice,Support for research and advocacy to reform federal prosecutorial practices contributing to overincarceration.,"$100,000",12 months,Criminal Justice
"Chicago, IL",2014,American Bar Foundation,Project support for Increasing Access to Justice through Expanded Roles Beyond Lawyers: Developing and Testing an Evaluation Framework.,"$200,000",24 months,Special Initiative: Civil Legal Aid
"Washington, DC",2014,Working America Education Fund,General support.,"$300,000",24 months,Workers' Rights
"Austin, TX",2014,Workers Defense Project,General support.,"$150,000",24 months,Workers' Rights
"Baltimore, MD",2014,United Workers Association,General support.,"$150,000",24 months,Workers' Rights
"Los Angeles, CA",2014,UCLA Labor Occupational Safety & Health Program,Support for a convening of worker centers and others to reflect and learn more about health and safety issues.,"$50,000",12 months,Workers' Rights
"Immokalee, FL",2014,Student/Farmworker Alliance,General support.,"$25,000",12 months,Workers' Rights
"New York, NY",2014,ROC United,General support.,"$330,000",24 months,Workers' Rights
"Baltimore, MD",2014,Public Justice Center,Support for the organization's Workplace Justice project.,"$600,000",24 months,Workers' Rights
"New York, NY",2014,NEO Philanthropy,"Support to the Occupational Safety and Health Law Project for legal expertise, technical assistance and advocacy on workplace health and safety.","$100,000",24 months,Workers' Rights
"New York, NY",2014,Public Concern Foundation,Support for a documentary on farmworkers and the work of the Coalition of Immokalee Workers.,"$25,000",12 months,Workers' Rights
"San Francisco, CA",2014,State Innovation Exchange,Support to organize and support progressive state legislators across the country through the organization's Workers' Rights Project.,"$400,000",24 months,Workers' Rights
"Cleveland, OH",2014,Policy Matters Ohio,Support for research and public education on labor rights issues.,"$50,000",24 months,Workers' Rights
"Washington, DC",2014,Partnership for Working Families,General support.,"$400,000",24 months,Workers' Rights
"Portland, OR",2014,Northwest Employment Education and Defense Fund,"$200,000 in general support and $200,000 for support for a state policy coalition focused on workers' rights.","$400,000",24 months,Workers' Rights
"Lincoln, NE",2014,Nebraska Appleseed Center for Law in the Public Interest,Support to improve health and safety policies for meatpacking workers.,"$150,000",24 months,Workers' Rights
"New York, NY",2014,National Employment Law Project,Support for meetings on contingent work.,"$30,000",12 months,Workers' Rights
"New York, NY",2014,National Employment Law Project,General support.,"$750,000",36 months,Workers' Rights
"New York, NY",2014,National Economic and Social Rights Initiative,"Support for the organization's Work with Dignity Program, which provides support to workers' rights groups and also provides national coordination and leadersh…","$400,000",24 months,Workers' Rights
"Dorchester, MA",2014,Massachusetts Coalition for Occupational Safety and Health,General support.,"$150,000",24 months,Workers' Rights
"Brooklyn, NY",2014,Make the Road New York,Support for the Workplace Justice Program.,"$150,000",24 months,Workers' Rights
"Los Angeles, CA",2014,Los Angeles Alliance For A New Economy,"Support for the Clean and Safe Ports Campaign, a coordinated national campaign to improve employment conditions and end misclassification of truckers operating…","$350,000",12 months,Workers' Rights
"Lexington, KY",2014,Kentucky Equal Justice Center,Support for continuing efforts to advocate for reforms that would benefit low-income workers in Kentucky.,"$80,000",12 months,Workers' Rights
"Denver, CO",2014,Front Range Economic Strategy Center,General support.,"$75,000",12 months,Workers' Rights
"Washington, DC",2014,D.C. Employment Justice Center,General support.,"$150,000",24 months,Workers' Rights
"Immokalee, FL",2014,Coalition of Immokalee Workers,"$400,000 in general support and $100,000 for support for additional fundraising capacity.","$500,000",24 months,Workers' Rights
"Baltimore, MD",2014,Centro de los Derechos del Migrante,Support to upgrade organizational security features.,"$25,000",12 months,Workers' Rights
"Washington, DC",2014,Center for Public Integrity,Support for a workers' rights reporting beat.,"$300,000",24 months,Workers' Rights
"Brooklyn, NY",2014,Center for Popular Democracy,"Support for the organization's Economic Justice Initiative, to provide technical assistance on organizational capacity building and strategic campaign developm…","$250,000",12 months,Workers' Rights
"Madison, WI",2014,Center for Media and Democracy,General support.,"$75,000",12 months,Workers' Rights
"Washington, DC",2014,Center for Effective Government,Support for research and advocacy to improve the regulatory process.,"$200,000",24 months,Workers' Rights
"Minneapolis, MN",2014,BlueGreen Alliance Foundation,Support to promote occupational safety and health.,"$350,000",24 months,Workers' Rights
"Boston, MA",2014,Beyond OSHA,Support for the Beyond OSHA Project's campaign to secure improved worker protection to prevent silicosis.,"$50,000",12 months,Workers' Rights
"Whitesburg, KY",2014,Appalachian Citizens’ Law Center,Support for the Coal Miner Health and Safety Project.,"$100,000",24 months,Workers' Rights
"Washington, DC",2014,Washington Regional Association of Grantmakers,"Support to enhance networking and strengthen connections in the DC philanthropic community, thereby reaching new audiences for philanthropic engagement and an …","$100,000",24 months,Special Opportunities
"Washington, DC",2014,The American Constitution Society for Law and Policy,Support to promote and raise the profile of civil legal aid through a variety of forums and activities within its nationwide network.,"$100,000",12 months,Special Initiative: Civil Legal Aid
"San Francisco, CA",2014,State Bar of California,"Support to implement a statewide capacity-building, coordination and assessment program to pilot practical training programs for recent law school graduates se…","$100,000",24 months,Special Opportunities
"Baltimore, MD",2014,Public Justice Center,"Support for the National Coalition for a Right to Civil Counsel, which is working on behalf of indigent litigants.","$25,000",12 months,Special Opportunities
"Washington, DC",2014,New Venture Fund,Support for activities to strengthen the Self-Represented Litigation Network in its effort to develop and promote self-help resources for increasing access to …,"$200,000",24 months,Special Initiative: Civil Legal Aid
"Williamsburg, VA",2014,National Center for State Courts,Support to strengthen the role of the judiciary in advancing access to justice.,"$115,000",12 months,Special Initiative: Civil Legal Aid
"Columbia, SC",2014,National Association of IOLTA Programs,Support to promote civil legal aid to private philanthropy through IOLTA program leadership and engagement.,"$150,000",24 months,Special Initiative: Civil Legal Aid
"Washington, DC",2014,Center on Budget and Policy Priorities,General support.,"$100,000",12 months,Special Opportunities
"Washington, DC",2014,American Bar Association Fund for Justice and Education,Support for activities of the Access to Justice Commission Expansion Project.,"$83,000",12 months,Special Initiative: Civil Legal Aid
"Washington, DC",2014,Alliance for Justice,Support to provide training and technical assistance to Foundation grantees around rules and regulations that govern their actions in the civic arena.,"$70,000",12 months,Special Opportunities
"Washington, DC",2014,National Legal Aid and Defender Association,Support for development of a civil legal aid research website.,"$25,000",12 months,President's Discretionary Fund
"Washington, DC",2014,National Black Women’s Health Project,General support.,"$15,000",12 months,President's Discretionary Fund
"Boston, MA",2014,FSG Social Impact Advisors,Support to provide coaching to a collaborative justice initiative in Minnesota.,"$25,000",12 months,President's Discretionary Fund
"New York, NY",2014,FJC-A Foundation of Philanthropic Funds,Support for the Stephen Rose Legacy Fund.,"$20,000",12 months,President's Discretionary Fund
"Washington, DC",2014,Families Against Mandatory Minimums Foundation,Support for the Clemency Project 2014.,"$25,000",12 months,President's Discretionary Fund
"New York, NY",2014,Columbia School of Law,Support to the Human Rights Institute at Columbia Law School for a convening of legal experts to coordinate international and domestic access to justice and ci…,"$15,000",12 months,President's Discretionary Fund
"New York, NY",2014,Children’s Aid Society,Support for the Carrera Adolescent Pregnancy Prevention Program.,"$10,000",12 months,President's Discretionary Fund
"Silver Spring, MD",2014,Catholic Legal Immigration Network,Support to help develop an innovative self-directed online training course for immigrant legal service providers.,"$25,000",12 months,President's Discretionary Fund
"Washington, DC",2014,American University – Washington College of Law,Support for the Center for Human Rights and Humanitarian Law at American University's Washington College of Law to develop training and advocacy materials on t…,"$25,000",12 months,President's Discretionary Fund
"Oakland, CA",2014,Youth Radio,"Support for the Youth Justice Desk, which produces media stories on juvenile justice from the perspective of youth, including incarcerated youth.","$200,000",24 months,Youth Justice
"Oakland, CA",2014,W. Haywood Burns Institute,General support.,"$500,000",24 months,Youth Justice
"New York, NY",2014,Vera Institute of Justice,"Support to help Governor Cuomo's Commission on Youth, Public Safety, and Justice develop a plan for raising the age of juvenile court jurisdiction in New York.","$75,000",12 months,Youth Justice
"Los Angeles, CA",2014,UCLA School of Law,Support for UCLA School of Law's Epstein Program in Public Interest Law and Policy for its Jail Removal Project to provide jurisdictions with guidance on how t…,"$150,000",18 months,Youth Justice
"Austin, TX",2014,Texas Criminal Justice Coalition,General support.,"$250,000",24 months,Youth Justice
"Austin, TX",2014,Texas Appleseed,Support to engage in policy advocacy at the state and local levels and to conduct litigation to challenge the use of juvenile and municipal courts in Texas to …,"$200,000",24 months,Youth Justice
"Newark, NJ",2014,New Jersey Institute for Social Justice,Support to advocate for reduced reliance on youth incarceration and transfer to the adult system in New Jersey.,"$150,000",24 months,Youth Justice
"San Francisco, CA",2014,Legal Services for Children,"Support to work, along with the Immigrant Legal Resource Center, to promote the fair and equitable treatment of non-citizen youth by juvenile justice systems.","$320,000",24 months,Youth Justice
"Philadelphia, PA",2014,Juvenile Law Center,"Support for dissemination and education activities related to the documentary film ""Kids for Cash.""","$10,000",6 months,Youth Justice
"Washington, DC",2014,Justice Policy Institute,Support for strategic planning for juvenile justice work.,"$50,000",12 months,Youth Justice
"Portland, OR",2014,Justice for Families,General support.,"$150,000",24 months,Youth Justice
"Washington, DC",2014,DC Lawyers for Youth,General support.,"$300,000",24 months,Youth Justice
"New York, NY",2014,Correctional Association of New York,Support for the organization's juvenile justice project to advance effective youth justice reform in New York.,"$350,000",24 months,Youth Justice
"Bridgeport, CT",2014,Connecticut Youth Justice Alliance,"Support for the Connecticut Youth Justice Alliance, which promotes a safe, effective, and fair juvenile justice system in Connecticut.","$250,000",24 months,Youth Justice
"Washington, DC",2014,Community Foundation for the National Capital Region,Support for the Youth Justice Work Group of the Youth Transition Funders Group.,"$10,000",24 months,Youth Justice
"Washington, DC",2014,Coalition for Youth Justice,"$50,000 in general support and $50,000 for support to provide training and technical assistance to the juvenile justice field on the deinstitutionalization of …","$100,000",12 months,Youth Justice
"Covington, KY",2014,Children’s Law Center,"Support for advocacy, education, and research to reduce youth detention and incarceration rates in the juvenile justice system, and decrease the number of yout…","$250,000",24 months,Youth Justice
"Chicago, IL",2014,Center on Wrongful Convictions of Youth,Support for policy advocacy and litigation to protect youth against wrongful convictions in juvenile and criminal cases,"$185,000",24 months,Youth Justice
"Washington, DC",2014,Center for Children’s Law and Policy,Support to provide technical assistance to Maryland Department of Juvenile Services and develop training materials on developing graduated responses to youth p…,"$95,000",18 months,Youth Justice
"Milwaulkee, WI",2014,WISDOM,"Support for statewide grassroots education and advocacy activities to advance criminal justice reform in Wisconsin, including sentencing reform and alternative…","$75,000",24 months,Criminal Justice
"Washington, DC",2014,The Constitution Project,Support for the Right-Left Justice Working Group to leverage momentum and advocate for federal criminal justice reform.,"$100,000",24 months,Criminal Justice
"Austin, TX",2014,Texas Criminal Justice Coalition,General support.,"$350,000",24 months,Criminal Justice
"Atlanta, GA",2014,Southern Center for Human Rights,"Support to reduce rates of incarceration in Georgia and Alabama through high-impact litigation, research, advocacy and coalition building.","$350,000",24 months,Criminal Justice
"Washington, DC",2014,Pretrial Justice Institute,General support.,"$600,000",24 months,Criminal Justice
"Washington, DC",2014,Pretrial Justice Institute,"Support to assist in executing a communications media campaign in support of the pretrial reform field and, specifically, the Pretrial Cabinet.","$100,000",12 months,Criminal Justice
"Washington, DC",2014,Partnership for Working Families,Support for the In the Public Interest Project to coordinate a coalition dedicated to stemming the growth of prison privatization in states and localities.,"$100,000",24 months,Criminal Justice
"Washington, DC",2014,National Association of Pretrial Services Agencies,General support.,"$100,000",12 months,Criminal Justice
"New York, NY",2014,JustLeadershipUSA,Support to increase the voice and leadership of formerly incarcerated individuals in calling for criminal justice reform.,"$50,000",12 months,Criminal Justice
"Washington, DC",2014,Justice Policy Institute,"$50,000 in general support and $50,000 in support for justice reform advocacy in Virginia.","$100,000",12 months,Criminal Justice
"Austin, TX",2014,Jail Project of Texas,Support to undertake community and public education to advance pretrial detention reform.,"$105,000",24 months,Criminal Justice
"Alexandria, VA",2014,International Association of Chiefs of Police,"Support to raise awareness about the need for pretrial detention reform among law enforcement leaders throughout the country, encouraging them to take a leader…","$200,000",24 months,Criminal Justice
"Charlotte, NC",2014,Grassroots Leadership,Support to explore opportunities for reducing federal prison populations and racial disparities by decreasing criminal prosecutions for immigration offenses in…,"$100,000",24 months,Criminal Justice
"Wilmington, DE",2014,Delaware Center for Justice,Support for advocacy on and implementation of pretrial risk assessment and community supervision programs to reduce unnecessary jail detention in Delaware.,"$300,000",24 months,Criminal Justice
"Oakland, CA",2014,Community Oriented Correctional Health Services,Support to provide national and local stakeholders with education and technical assistance to create pretrial alternatives to detention leveraging Medicaid res…,"$100,000",12 months,Criminal Justice
"Denver, CO",2014,Colorado Criminal Justice Reform Coalition,General support.,"$200,000",24 months,Criminal Justice
"Denver, CO",2014,Colorado Criminal Defense Institute,Support for advocacy to advance pretrial detention reform and reduce overincarceration in Colorado.,"$100,000",12 months,Criminal Justice
"Lansing, MI",2014,Citizens Alliance on Prisons & Public Spending,General support.,"$200,000",24 months,Criminal Justice
"New York, NY",2014,Brennan Center for Justice,"Support to use research, communications and advocacy to reduce incarceration in America through a focus on fiscal incentives and funding streams.","$100,000",24 months,Criminal Justice
"Washington, DC",2014,Association of Prosecuting Attorneys,General support.,"$500,000",24 months,Criminal Justice
,2014,American Civil Liberties Union Foundation,Support to advance sentencing reform in two southern states.,"$100,000",12 months,Criminal Justice
"Oakland, CA",2013,Worksafe,General support.,"$200,000",24 months,Workers' Rights
"San Jose, CA",2013,Working Partnerships USA,Support for the organization's project to improve worker health and safety in California.,"$200,000",24 months,Workers' Rights
"Chicago, IL",2013,Working Hands Legal Clinic,General support.,"$300,000",24 months,Workers' Rights
"Austin, TX",2013,Workers Defense Project,General support.,"$75,000",12 months,Workers' Rights
"Lexington, KY",2013,United Support and Memorial for Workplace Fatalities,General support.,"$230,000",24 months,Workers' Rights
"Washington, DC",2013,The American Prospect,Support for substantive reporting and analysis of workers' rights issues.,"$75,000",12 months,Workers' Rights
"Immokalee, FL",2013,Student/Farmworker Alliance,General support.,"$35,000",12 months,Workers' Rights
"Baltimore, MD",2013,Public Justice Center,Support to research and educate policymakers about public opinions on workplace issues.,"$15,000",12 months,Workers' Rights
"Washington, DC",2013,Public Citizen Foundation,"Support for comprehensive advocacy in the administration, Congress and the courts to improve federal standards for workers' health and safety.","$400,000",24 months,Workers' Rights
"Ewing, NJ",2013,New Jersey Work Environment Council,General support.,"$100,000",12 months,Workers' Rights
"Washington, DC",2013,National Public Radio,Support for on-air coverage of issues related to low-wage workers' rights.,"$200,000",24 months,Workers' Rights
"Washington, DC",2013,National Partnership for Women & Families,Support for the organization's Work and Family Program.,"$100,000",12 months,Workers' Rights
"New York, NY",2013,National Employment Law Project,General support.,"$250,000",12 months,Workers' Rights
"New York, NY",2013,National Employment Law Project,Support to highlight worker perspectives for the Department of Labor's celebration of the 75th anniversary of the Fair Labor Standards Act and to address issue…,"$25,000",12 months,Workers' Rights
"New York, NY",2013,National Economic and Social Rights Initiative,"Support for research, advocacy and strategic coordination of workers' compensation reform.","$100,000",12 months,Workers' Rights
"New York, NY",2013,National Economic and Social Rights Initiative,General support.,"$125,000",12 months,Workers' Rights
"Longmeadow, MA",2013,National Council for Occupational Safety and Health,General support.,"$400,000",24 months,Workers' Rights
"Washington, DC",2013,National Consumers League,Support for the organization's Special Project on Wage Theft.,"$100,000",12 months,Workers' Rights
"Dorchester, MA",2013,Massachusetts Coalition for Occupational Safety and Health,Support for efforts to implement a new law regarding labor contractors.,"$75,000",12 months,Workers' Rights
"Brooklyn, NY",2013,Make the Road New York,Support for the Workplace Justice Program.,"$75,000",12 months,Workers' Rights
"Los Angeles, CA",2013,Los Angeles Alliance For A New Economy,Support for the Clean and Safe Ports Campaign.,"$500,000",12 months,Workers' Rights
"Lexington, KY",2013,Kentucky Equal Justice Center,"Support for continuing efforts to bring about policy reforms that would benefit low-income workers in Kentucky, including improving access to private counsel f…","$80,000",12 months,Workers' Rights
"Chicago, IL",2013,Interfaith Worker Justice,Support to train worker centers on health and safety issues.,"$22,500",12 months,Workers' Rights
"Chicago, IL",2013,Interfaith Worker Justice,"$160,000 in general support and $340,000 to support workplace health and safety advocacy.","$500,000",24 months,Workers' Rights
"Chicago, IL",2013,In These Times,Support for original news coverage and commentary on workers' rights issues in In These Times magazine and online in the blog Working In These Times.,"$160,000",24 months,Workers' Rights
"Brooklyn, NY",2013,Global Workers Justice Alliance,General support.,"$150,000",24 months,Workers' Rights
"Denver, CO",2013,Front Range Economic Strategy Center,General support.,"$75,000",12 months,Workers' Rights
"Washington, DC",2013,Farmworker Justice,General support.,"$300,000",24 months,Workers' Rights
"Washington, DC",2013,Economic Policy Institute,Support for the organization's Economic Security and Workers' Rights program.,"$150,000",24 months,Workers' Rights
"Washington, DC",2013,D.C. Employment Justice Center,General support.,"$75,000",12 months,Workers' Rights
"Immokalee, FL",2013,Coalition of Immokalee Workers,General support.,"$200,000",12 months,Workers' Rights
"Baltimore, MD",2013,Centro de los Derechos del Migrante,General support.,"$300,000",24 months,Workers' Rights
"Brooklyn, NY",2013,Center for Popular Democracy,Support for a convening on worker justice.,"$100,000",12 months,Workers' Rights
"Washington, DC",2013,Center for Effective Government,Support for research and advocacy to improve the federal regulatory process.,"$100,000",12 months,Workers' Rights
"Washington, DC",2013,Center for Economic and Policy Research,General support.,"$250,000",24 months,Workers' Rights
"Boston, MA",2013,Beyond OSHA,Support to the Beyond OSHA project for its work providing technical assistance and public education on occupational safety and health policy.,"$400,000",24 months,Workers' Rights
"Washington, DC",2013,TimeBanks USA,Support for efforts to foster client engagement in civil legal aid organizations.,"$50,000",12 months,Special Initiative: Civil Legal Aid
"Washington, DC",2013,The George Washington University,Support for the National Center for Medical-Legal Partnership for efforts to promote the leadership of legal aid professionals to help increase involvement of …,"$100,000",12 months,Special Initiative: Civil Legal Aid
"Baltimore, MD",2013,Public Justice Center,Support to lead the National Coalition for a Right to Civil Counsel and advance civil rights to legal counsel for the poor.,"$25,000",12 months,Special Initiative: Civil Legal Aid
"New York, NY",2013,Pro Bono Net,"Support for a convening of the Self-Represented Litigation Network to assess its future role, activities and priorities in the area of access to justice for th…","$25,000",12 months,Special Initiative: Civil Legal Aid
"Washington, DC",2013,Pro Bono Institute,Support to enhance delivery and impact of pro bono legal services for low-income clients.,"$55,000",12 months,Special Initiative: Civil Legal Aid
"Washington, DC",2013,New Venture Fund,"Support to house a collective communications initiative that will create a common narrative in the media, casting a spotlight on the vital role of civil legal …","$700,000",36 months,Special Initiative: Civil Legal Aid
"Washington, DC",2013,National Legal Aid and Defender Association,Support for technical assistance and advocacy to increase access to federal resources for civil legal service organizations nationally.,"$100,000",18 months,Special Initiative: Civil Legal Aid
"Washington, DC",2013,Justice at Stake,"Support for the organization's ""Fair Courts in the States"" project, which aims to protect against efforts to undermine the independence of the judiciary.","$160,000",18 months,Special Opportunities
"Washington, DC",2013,Center on Budget and Policy Priorities,General support.,"$100,000",12 months,Special Opportunities
"Washington, DC",2013,Center for Effective Government,Support for a campaign to advance a public narrative about the importance of government.,"$100,000",12 months,Special Opportunities
"Washington, DC",2013,American Bar Association Fund for Justice and Education,Support to evaluate and continue to strengthen the Access to Justice Commission Expansion Project.,"$100,000",16 months,Special Initiative: Civil Legal Aid
"San Francisco, CA",2013,Tides Center,Support to help launch the Talent Philanthropy Project for activities to encourage philanthropic investment in nonprofit talent and staff development to build …,"$16,500",6 months,President's Discretionary Fund
"Washington, DC",2013,ONE DC,Support for outreach and training activities to build the capacity of DC residents to advocate in a campaign for economic equality and living wage jobs.,"$15,000",12 months,President's Discretionary Fund
"Martinsville, VA",2013,New College Institute,General support.,"$25,000",12 months,President's Discretionary Fund
"Washington, DC",2013,Neighborhood Legal Services Program for the District of Columbia,Support for organizational strategic planning with the help of a consultant.,"$10,000",12 months,President's Discretionary Fund
"Washington, DC",2013,Neighborhood Legal Services Program for the District of Columbia,Support to undertake a community listening and engagement study with low-income residents to assess from their perspectives challenges and barriers to addressi…,"$22,000",12 months,President's Discretionary Fund
"Jackson, MS",2013,Mississippi Center for Justice,Support to assist legal services organizations and pro bono attorneys in New Jersey and New York with Hurricane Sandy legal recovery efforts.,"$25,000",6 months,President's Discretionary Fund
"Charlottesville, VA",2013,Legal Aid Justice Center,Support to expand civil legal aid through the novel use of a new technology to improve pro bono case management.,"$25,000",12 months,President's Discretionary Fund
"Washington, DC",2013,DC Volunteer Lawyers Project,General support.,"$25,000",12 months,President's Discretionary Fund
"Washington, DC",2013,DC Bar Foundation,Support for a special fundraising and capacity building effort to increase resources for and access to civil legal aid in the District of Columbia.,"$13,000",12 months,President's Discretionary Fund
"New York, NY",2013,Columbia School of Law,Support to host a convening of advocates to develop a national policy agenda and briefing paper on LGBTQ concerns in relation to criminal justice.,"$25,000",12 months,President's Discretionary Fund
"Harrisburg, PA",2013,"Youth Advocate Programs, Inc.",Support to produce publications about community-based alternatives to incarceration for high-risk youth.,"$75,000",12 months,Youth Justice
"Austin, TX",2013,Texans Care for Children,Support to facilitate the Youth Justice Roundtable and advocate for the effective implementation of policies that promote alternatives to youth incarceration i…,"$100,000",24 months,Youth Justice
"Newark, NJ",2013,New Jersey Institute for Social Justice,Support to advocate for reforms to reduce the reliance on incarceration in the juvenile justice system and the transfer of youth to the adult system in New Jer…,"$75,000",12 months,Youth Justice
"Raleigh, NC",2013,NC Child,Support for a campaign to end the automatic adult prosecution of 16- and 17-year olds and work to expand evidence-based alternatives to youth incarceration.,"$85,200",12 months,Youth Justice
